4543710;"PARAFUSO,CAB SEXT;AZ;10X50;D41014.3";NÃO-ESTOQUE;12/03/2019;12/03/2019
4543736;"PARAFUSO,CAB RED;LATAO;1/4X5/8 ;FP";FORA DE PADRÃO;12/03/2019;12/03/2019
4543737;"PARAFUSO,CAB SEXT;LATAO;12X25MM";NÃO-ESTOQUE;12/03/2019;12/03/2019
4543739;"PARAFUSO,CAB CHATA;CAZ;4,8X75MM;MADEIRA";FORA DE PADRÃO;12/03/2019;12/03/2019
4543740;"PARAFUSO,ROSCA DUP;AZ;16X350;D41028.2";NÃO-ESTOQUE;12/03/2019;12/03/2019
4543741;"PARAFUSO,ROSCA DUP;AZ;16X500;D41028.2";ESTOQUE;12/03/2019;12/03/2019
4543743;"PARAFUSO,J;AZ;10X300;BCO CAPAC;D41025.3";ESTOQUE;12/03/2019;12/03/2019
4543746;"PORCA,OLHAL;AZ;M20X2,5;AT07733;FPM";FORA DE PADRÃO;12/03/2019;12/03/2019
4543753;QUADRO,SERV AUX,125VCC,ET182;ESTOQUE;12/03/2019;12/03/2019
4543755;ESTRUTURA,MET,P/BCAP,15KV,1.8MVA,ET-164;NÃO-ESTOQUE;12/03/2019;12/03/2019
4543756;ESTRUTURA,MET,P/BCAP,15KV,3.6MVA,ET-164;NÃO-ESTOQUE;12/03/2019;12/03/2019
4543758;QUADRO,SERV AUX,380/220VCA,ET182;ESTOQUE;12/03/2019;12/03/2019
4543759;QUADRO,COMANDO,PROT,SE,INT,ET183;NÃO-ESTOQUE;12/03/2019;12/03/2019
4543761;QUADRO,COMANDO,DISJ 72,5KV,EXT,ETC.07001;NÃO-ESTOQUE;12/03/2019;12/03/2019
4543767;ESCADA,SINGELA,FIBRA VID,2115MM,EMS-55;NÃO-ESTOQUE;12/03/2019;12/03/2019
4543768;ESCADA,SINGELA,FIBRA VID,4035MM,EMS-55;NÃO-ESTOQUE;12/03/2019;12/03/2019
4543769;ESCADA,SINGELA,FIBRA VID,4645MM,EMS-55;NÃO-ESTOQUE;12/03/2019;12/03/2019
4543770;ESCADA,SINGELA,FIBRA VID,5252MM,EMS-55;NÃO-ESTOQUE;12/03/2019;12/03/2019
4543771;"ESCADA,EXTENSIV;FIB VID;4120X6600;EMS56";NÃO-ESTOQUE;12/03/2019;12/03/2019
4543772;ESCADA,EXTENSIV,FIB VID,4690X7800,EMS56;NÃO-ESTOQUE;12/03/2019;12/03/2019
4543773;"ESCADA,EXTENSIV;FIB VID;5560X9600;EMS56";NÃO-ESTOQUE;12/03/2019;12/03/2019
4543778;"POSTE,CONC;DT;17M;1800DAN;FP";FORA DE PADRÃO;12/03/2019;12/03/2019
4543780;"POSTE,CONC;DT;13M;2400DAN;FP";FORA DE PADRÃO;12/03/2019;12/03/2019
4543784;"CRUZETA,BANDEIRA;AZ;500MM;LT;D44020;FPM";FORA DE PADRÃO;12/03/2019;12/03/2019
4543789;"ANEL,CONC;LISO;TRIPLO;B-5;T;AT03953;FP";FORA DE PADRÃO;12/03/2019;12/03/2019
4543792;"ANEL,CONC;LISO;SIMPLES;B-3;AT03962;FP";FORA DE PADRÃO;12/03/2019;12/03/2019
4543794;"SUPORTE,JAB;SIMP;CONC;L;1630;B8;FP";FORA DE PADRÃO;12/03/2019;12/03/2019
4543795;"VIGA,CONC;120X170X3220MM;VERT/HOR;FP";FORA DE PADRÃO;12/03/2019;12/03/2019
4543796;VIGA,CONC,120X170X3960MM,VE/HO,D31009;FORA DE PADRÃO;12/03/2019;12/03/2019
4543800;VIGA,CONC,120X200X4880MM,VERT,D31008.2;NÃO-ESTOQUE;12/03/2019;12/03/2019
4543801;"SUPORTE,JAB;DUP;CONC;L;1630;B6;D31033";NÃO-ESTOQUE;12/03/2019;12/03/2019
4543802;"SUPORTE,JAB;DUP;CONC;LT;1630;B6;D31033.3";NÃO-ESTOQUE;12/03/2019;12/03/2019
4543805;"CABO,COAXIAL;CF;1/4 POL;50 OHMS";NÃO-ESTOQUE;12/03/2019;12/03/2019
4543806;Antenas-ANTENA,YAGI,440-470MHZ,14DBI;NÃO-ESTOQUE;12/03/2019;12/03/2019
4543808;"ANTENA,YAGI;460 20,0 DBI";NÃO-ESTOQUE;12/03/2019;12/03/2019
4543809;"ANTENA,HELICOIDAL;460 14,5 DBI;440-470MH";NÃO-ESTOQUE;12/03/2019;12/03/2019
4543810;"ANTENA,YAGI;460 17,0 DBI";NÃO-ESTOQUE;12/03/2019;12/03/2019
4543812;CABO COAXIAL,RG,213/U,50 OHMS;NÃO-ESTOQUE;12/03/2019;12/03/2019
4543813;CONECTOR,UHF,CABO RG 213U,50 OHMS;NÃO-ESTOQUE;12/03/2019;12/03/2019
4543833;"BASTIDOR,19POL;1,60M";NÃO-ESTOQUE;12/03/2019;12/03/2019
4543844;"ANTENA,YAGI;440-470MHZ;20DBI";NÃO-ESTOQUE;12/03/2019;12/03/2019
4543847;"PAINEL,CONTROLE REMOTO;AL ANOD;PRETO;30X";NÃO-ESTOQUE;12/03/2019;12/03/2019
4543855;CABO COAXIAL CELFLEX 7/8;NÃO-ESTOQUE;12/03/2019;12/03/2019
4543856;"PINO,ISOL 72,5KV;AZ;25X45MM";NÃO-ESTOQUE;12/03/2019;12/03/2019
4543860;"PINO,ISOL;25KV;5.1/2 ;C1.1/2 ;H1.1/2 ;FP";FORA DE PADRÃO;12/03/2019;12/03/2019
4543866;"CONECTOR,T;CA;2X954TR;1X954DR;D71049.0";NÃO-ESTOQUE;12/03/2019;12/03/2019
4543867;CONECTOR,T,954-795/500,TD,D71014;NÃO-ESTOQUE;12/03/2019;12/03/2019
4543868;CONECTOR,T,TB AL 2TR,CAA477DR,D71012;ESTOQUE;12/03/2019;12/03/2019
4543870;CONECTOR,TERM,COMPR,CU, 500MM2,4F,D71048;NÃO-ESTOQUE;12/03/2019;12/03/2019
4543871;CONECTOR,T,556-477/315,TD,D71014;ESTOQUE;12/03/2019;12/03/2019
4543876;"CONECTOR,DERIV;CUNHA;CAA (FP) BLOQUEADO";FORA DE PADRÃO;12/03/2019;12/03/2019
4543877;CONECTOR,SUPORTE,TUBO AL 1pol,D71006;ESTOQUE;12/03/2019;12/03/2019
4543878;CONECTOR,SUPORTE,TUBO AL 1.1/4pol,D71006;ESTOQUE;12/03/2019;12/03/2019
4543880;"CONECTOR,FEND;CU;4AWG;SALVADO";FORA DE PADRÃO;12/03/2019;12/03/2019
4543881;"CONECTOR,FEND;CU; 4-16TR/DR;D71035;FP";FORA DE PADRÃO;12/03/2019;12/03/2019
4543882;CONECTOR,FEND,CU,16/25TR,6/25D,D71035,FP;FORA DE PADRÃO;12/03/2019;12/03/2019
4543883;"CONECTOR,FEND;CU;50TR/DR;FP";FORA DE PADRÃO;12/03/2019;12/03/2019
4543884;"CONECTOR,FEND;CU;50-185MM2 BLOQUEADO";FORA DE PADRÃO;12/03/2019;12/03/2019
4543885;CONECTOR,T,TB AL 2TR,1.1/4DR,D71010;ESTOQUE;12/03/2019;12/03/2019
4543886;"CONECTOR,T;CU;1/0-4/0AWG;TR/DR";NÃO-ESTOQUE;12/03/2019;12/03/2019
4543887;CONECTOR,T,266/160,TR/DR,D71014;NÃO-ESTOQUE;12/03/2019;12/03/2019
4543889;CONECTOR,T,TB AL 1TR,CAA266DR,D71012;FORA DE PADRÃO;12/03/2019;12/03/2019
4543890;CONECTOR,PARAL,CU,2X 16-120MM2,2P,D71026;ESTOQUE;12/03/2019;12/03/2019
4543891;CONECTOR,PARAL,BIM,6-1/0T,16-50D,D71027;FORA DE PADRÃO;12/03/2019;12/03/2019
4543892;CONECTOR,PARAL,BIM,1/0-266TD,336D,D71027;ESTOQUE;12/03/2019;12/03/2019
4543894;CONECTOR,PARAL,BIM,10-1/0,TR/DR,D71027;NÃO-ESTOQUE;12/03/2019;12/03/2019
4543895;CONECTOR,PARAL,BIM,4-1/0,TR/DR,D71027;NÃO-ESTOQUE;12/03/2019;12/03/2019
4543896;CONECTOR,PARAL,BIM,1/0-4/0,TR/DR,D71027;ESTOQUE;12/03/2019;12/03/2019
4543897;"CONECTOR,TIPO C;AL 35TR/DR;D-710360";FORA DE PADRÃO;12/03/2019;12/03/2019
4543898;"CONECTOR,TIPO C;AL 35TR;25DR;D-71036";FORA DE PADRÃO;12/03/2019;12/03/2019
4543899;"CONECTOR,TIPO C;AL 25TR/DR;D-710360";FORA DE PADRÃO;12/03/2019;12/03/2019
4543901;"CONECTOR,COMPR;BIM;CA 25MM2-BLOQUEADO";FORA DE PADRÃO;12/03/2019;12/03/2019
4543902;CONECTOR,PARAL,BIM,1/0-266T,336D,D71027;NÃO-ESTOQUE;12/03/2019;12/03/2019
4543903;CONECTOR,PARAL,BIM,556.5-315,TR/DR,D7102;NÃO-ESTOQUE;12/03/2019;12/03/2019
4543905;"CONECTOR,PARAL;CA 1/0TR;CAA(FP)BLOQUEADO";FORA DE PADRÃO;12/03/2019;12/03/2019
4543908;"CONECTOR,PARAL;CAA 336,4MCM;3P;ET-710";NÃO-ESTOQUE;12/03/2019;12/03/2019
